new_name;page;qid;id;layout;filter;group_english;question_dutch;subquestion_dutch;veel meer nu;ordered;type;group_english;nice_name_english
;16;he040a;he040a_v3_f1;grid;he040;Beer Consumption;"Geeft u aan hoeveel bier (van normale sterkte, pils, wit bier, donker bier, met minder dan
6% alcohol) u op die dag hebt gedronken.";Aantal halve liter blikken of flesjes;;;int;;
;16;he040a;he040a_v4_f1;grid;he040;Beer Consumption;"Geeft u aan hoeveel bier (van normale sterkte, pils, wit bier, donker bier, met minder dan
6% alcohol) u op die dag hebt gedronken.";Aantal kleine blikjes of flesjes;;;int;;
;17;he040b;he040b_v1_f1;grid;he040;Strong Beer Consumption;Geeft u aan hoeveel sterk bier (speciale bieren met 6% alcohol of meer), u op die dag hebt gedronken.;Aantal glazen (reken grote glazen voor 2);;;int;;
;17;he040b;he040b_v2_f1;grid;he040;Strong Beer Consumption;Geeft u aan hoeveel sterk bier (speciale bieren met 6% alcohol of meer), u op die dag hebt gedronken.;Aantal glazen van een halve liter (pints);;;int;;
;17;he040b;he040b_v3_f1;grid;he040;Strong Beer Consumption;Geeft u aan hoeveel sterk bier (speciale bieren met 6% alcohol of meer), u op die dag hebt gedronken.;Aantal halve liter blikken of flesjes;;;int;;
;17;he040b;he040b_v4_f1;grid;he040;Strong Beer Consumption;Geeft u aan hoeveel sterk bier (speciale bieren met 6% alcohol of meer), u op die dag hebt gedronken.;Aantal kleine blikjes of flesjes;;;int;;
;18;he040c;he040c_v1_f1;grid;he040;Strong Alcohol Consumption;Geeft u aan hoeveel van deze alcoholische drank u op die dag hebt gedronken. (Reken grote glazen voor 2.);sterke drank of likeur, zoals gin, whisky, rum, brandy, wodka of cocktails;;;int;;
;18;he040c;he040c_v2_f1;grid;he040;Strong Alcohol Consumption;Geeft u aan hoeveel van deze alcoholische drank u op die dag hebt gedronken. (Reken grote glazen voor 2.);sherry of martini (inclusief port, vermouth, cinzano, dubonet);;;int;;
;18;he040c;he040c_v3_f1;grid;he040;Strong Alcohol Consumption;Geeft u aan hoeveel van deze alcoholische drank u op die dag hebt gedronken. (Reken grote glazen voor 2.);wijn (inclusief champagne);;;int;;
;19;he040d;;open;he040;Mixed Alcohol Consumption;"Geeft u aan hoeveel kleine blikjes of flesjes aan premixen, alcoholpops, blasters en
shooters (zoals Bacardi Breezer, Smirnoff Ice) u op die dag hebt gedronken.";;;;int;;
;20;he040e;;open ;he040;Other Alcohol 1 Consumption;"Geeft u aan hoeveel hoeveel glazen ^alco1; u op die dag hebt gedronken.
(Reken grote glazen voor 2.)";;;;int;;
;21;he040f;;open;he040;Other Alcohol 2 Consumption;"Geeft u aan hoeveel van deze alcoholische drank u op die dag hebt gedronken.
(Reken grote glazen voor 2.)";;;;int;;
;22;he041;he041v1;table ;;Drug Intake;"Hebt u gedurende de afgelopen maand wel eens één of meer van de volgende middelen
Gebruikt?";kalmerende middelen (zoals valium);nooit, soms, regelmatig;;Categorical;;
;22;he041;he041v2;table ;;Drug Intake;"Hebt u gedurende de afgelopen maand wel eens één of meer van de volgende middelen
Gebruikt?";soft drugs (zoals hasj, wiet en marihuana);nooit, soms, regelmatig;;Categorical;;
;22;he041;he041v3;table ;;Drug Intake;"Hebt u gedurende de afgelopen maand wel eens één of meer van de volgende middelen
Gebruikt?";XTC;nooit, soms, regelmatig;;Categorical;;
;22;he041;he041v4;table ;;Drug Intake;"Hebt u gedurende de afgelopen maand wel eens één of meer van de volgende middelen
Gebruikt?";bewustzijnsverruimende middelen (zoals LSD en paddo ́s);nooit, soms, regelmatig;;Categorical;;
;22;he041;he041v5;table ;;Drug Intake;"Hebt u gedurende de afgelopen maand wel eens één of meer van de volgende middelen
Gebruikt?";hard drugs (zoals pepmiddelen, cocaïne en heroïne);nooit, soms, regelmatig;;Categorical;;
;23;he042;he042_v1_f1;grid;he041;Drug Intake Last Month;Hoe vaak hebt u deze middelen in de afgelopen maand gebruikt?;kalmerende middelen (zoals valium);;;int;;
;23;he042;he042_v2_f1;grid;he041;Drug Intake Last Month;Hoe vaak hebt u deze middelen in de afgelopen maand gebruikt?;soft drugs (zoals hasj, wiet en marihuana);;;int;;
;23;he042;he042_v2_f2;grid;he041;Drug Intake Last Month;Hoe vaak hebt u deze middelen in de afgelopen maand gebruikt?;XTC;;;int;;
;23;he042;he042_v2_f3;grid;he041;Drug Intake Last Month;Hoe vaak hebt u deze middelen in de afgelopen maand gebruikt?;bewustzijnsverruimende middelen (zoals LSD en paddo ́s);;;int;;
;23;he042;he042_v2_f4;grid;he041;Drug Intake Last Month;Hoe vaak hebt u deze middelen in de afgelopen maand gebruikt?;hard drugs (zoals pepmiddelen, cocaïne en heroïne);;;int;;
;24;loneliness;cs12e284;table ;;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;ik ervaar een leegte om me heen;ja, min of meer, nee;;Categorical;;
;24;loneliness;cs12e285;table ;;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;er zijn genoeg mensen waarop ik in geval van narigheid kan terugvallen;ja, min of meer, nee;;Categorical;;
;24;loneliness;cs12e286;table ;;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;ik ken veel mensen op wie ik volledig kan vertrouwen;ja, min of meer, nee;;Categorical;;
;24;loneliness;cs12e287;table ;;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;er zijn voldoende mensen met wie ik mij nauw verbonden voel;ja, min of meer, nee;;Categorical;;
;24;loneliness;cs12e288;table ;;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;ik mis mensen om me heen;ja, min of meer, nee;;Categorical;;
;24;loneliness;cs12e289;table ;;Loneliness;Wilt u voor elke uitspraak aangeven in hoeverre die op u van toepassing is, op basis van hoe u zich nu voelt?;vaak voel ik me in de steek gelaten;ja, min of meer, nee;;Categorical;;
;25;socialcontact_hd;;grid;;Contacts past 7 Days;"We willen graag iets weten over de contacten die u de afgelopen zeven dagen hebt gehad,
persoonlijk of op afstand (online of telefonisch), en die ten minste vijf minuten duurden. Met hoeveel verschillende personen hebt u zo’n contact gehad in de afgelopen zeven dagen?";persoonlijk:;;;int;;
;25;socialcontact_hd;;grid;;Contacts past 7 Days;"We willen graag iets weten over de contacten die u de afgelopen zeven dagen hebt gehad,
persoonlijk of op afstand (online of telefonisch), en die ten minste vijf minuten duurden. Met hoeveel verschillende personen hebt u zo’n contact gehad in de afgelopen zeven dagen?";op afstand (telefonisch, online enz.):;;;int;;
;26;socialcontact_vrg_hd;;table ;;Contacts Normally;Als u dat vergelijkt met een normale week, dus vóór de uitbraak van het coronavirus, hebt u dan nu minder of meer persoonlijk contact of contact via de telefoon / online?;persoonlijk:;veel minder nu, minder nu, ongeveer hetzelfde, meer nu, veel meer nu;;Categorical;;
;26;socialcontact_vrg_hd;;table ;;Contacts Normally;Als u dat vergelijkt met een normale week, dus vóór de uitbraak van het coronavirus, hebt u dan nu minder of meer persoonlijk contact of contact via de telefoon / online?;op afstand (telefonisch, online enz.):;veel minder nu, minder nu, ongeveer hetzelfde, meer nu, veel meer nu;;Categorical;;
;27;q22;;open;;Young Children in Household;Hoeveel kinderen jonger dan 12 jaar zijn er in uw huishouden?;;;;int;;
;28;q23;;multi;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";Ik blijf thuis om voor ^fill_kids2, te zorgen;;;bool;;
;28;q23;;multi;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";Mijn partner blijft thuis om voor ^fill_kids2, te zorgen;;;bool;;
;28;q23;;multi;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";Oudere broer(s) of zus(sen) zorgen voor ^fill_kids2;;;bool;;
;28;q23;;multi;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";De grootouders zorgen voor ^fill_kids2;;;bool;;
;28;q23;;multi;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";Andere familieleden of vrienden zorgen voor ^fill_kids2;;;bool;;
;28;q23;;multi;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";"Ik regel de kinderopvang samen met vrienden/buren (afwisselend de kinderen
Opvangen)";;;bool;;
;28;q23;;multi;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";"Ikzelf en/of mijn partner horen tot de cruciale beroepsgroep en er is daarom
nood(kinder)opvang beschikbaar";;;bool;;
;28;q23;;multi;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";Mijn ex-partner zorgt voor ^fill_kids2;;;bool;;
;28;q23;;multi;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";"^fill_kidsblijven; alleen thuis";;;bool;;
;28;q23;;multi;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";Anders, namelijk:;;;string;;
;28;q23and;;open;q22;Childcare Adjustments;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";Anders, namelijk:;;;string;;
;29;q13;;cat;;Work Status Beginning of March;"Voor ^fill_kids;, hoe gaat u om met sluiting van school en/of kinderopvang vanwege het Coronavirus?";;k verrichtte betaald werk in loondienst ( full-time of part-time), Ik was zelfstandig ondernemer, Ik was werkloos en was op zoek naar werk, Ik was (vervroegd) gepensioneerd, Ik ontving een arbeidsongeschiktheidsuitkering of sociale bijstand en was niet op zoek naar werk, Ik was leerling / student / stagiair en kreeg alleen een onkostenvergoeding, Ik deed het huishouden;;Categorical;;
;30;Q14header_1;;grid;q13;Working Hours;"Hoeveel uur per week werkte u begin maart (of voordat het coronavirus invloed had op uw
werk) gemiddeld op uw werkplek en vanuit huis? En in de afgelopen zeven dagen?Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Werk vóór de pandemie;;;int;;
;30;Q14header_1;;grid;q13;Working Hours;"Hoeveel uur per week werkte u begin maart (of voordat het coronavirus invloed had op uw
werk) gemiddeld op uw werkplek en vanuit huis? En in de afgelopen zeven dagen?Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Thuis vóór de pandemie;;;int;;
;30;Q14header_1;;grid;q13;Working Hours;"Hoeveel uur per week werkte u begin maart (of voordat het coronavirus invloed had op uw
werk) gemiddeld op uw werkplek en vanuit huis? En in de afgelopen zeven dagen?Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Werk de afgelopen zeven dagen;;;int;;
;30;Q14header_1;;grid;q13;Working Hours;"Hoeveel uur per week werkte u begin maart (of voordat het coronavirus invloed had op uw
werk) gemiddeld op uw werkplek en vanuit huis? En in de afgelopen zeven dagen?Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Thuis de afgelopen zeven dagen;;;int;;
;31;q14header;;grid;q13;Working Hours Extended;"Op ^DatumB; hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per
week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Werk vóór de uitbraak van het coronavirus;;;int;;
;31;q14header;;grid;q13;Working Hours Extended;"Op ^DatumB; hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per
week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Werk van ^DatumB_min7 tot en met ^DatumB_min1;;;int;;
;31;q14header;;grid;q13;Working Hours Extended;"Op ^DatumB; hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per
week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Werk in de afgelopen zeven dagen;;;int;;
;31;q14header;;grid;q13;Working Hours Extended;"Op ^DatumB; hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per
week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Thuis vóór de uitbraak van het coronavirus;;;int;;
;31;q14header;;grid;q13;Working Hours Extended;"Op ^DatumB; hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per
week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Thuis van ^DatumB_min7 tot en met ^DatumB_min1;;;int;;
;31;q14header;;grid;q13;Working Hours Extended;"Op ^DatumB; hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per
week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Thuis in de afgelopen zeven dagen;;;int;;
;32;q15;;multi;q14_header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;"Minder zakelijke activiteit in het bedrijf waar ik werk vanwege economische
Omstandigheden";;;bool;;
;32;q15;;multi;q14_header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;"Vanwege het besmettingsgevaar heeft de overheid besloten dat mijn werkplek voorlopig
moet sluiten";;;bool;;
;32;q15;;multi;q14_header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Vanwege het besmettingsgevaar stelde mijn werkgever het werk vrijwillig uit;;;bool;;
;32;q15;;multi;q14_header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Ik moet zorgen voor mensen (kinderen, ouders) die van mij afhankelijk zijn;;;bool;;
;32;q15;;multi;q14_header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;"Ik ga niet naar mijn werkplek omdat ik bang ben te worden besmet door het coronavirus
en ik kan het werk dat ik doe niet thuis doen";;;bool;;
;32;q15;;multi;q14_header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Ik was ziek / in quarantaine;;;bool;;
;32;q15;;multi;q14_header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Ik heb vakantiedagen opgenomen;;;bool;;
;32;q15;;multi;q14_header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Ik werd ontslagen;;;bool;;
;32;q15;;multi;q14_header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Anders, namelijk:;;;bool;;
;33;q16;;multi;q14_header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;"Minder zakelijke activiteit in het bedrijf waar ik werk vanwege economische
Omstandigheden";;;bool;;
;33;q16;;multi;q14_header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Vanwege het besmettingsgevaar heeft de overheid besloten dat er voorlopig minder gewerkt moet worden op mijn werkplek;;;bool;;
;33;q16;;multi;q14_header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Vanwege het besmettingsgevaar heeft mijn werkgever vrijwillig besloten dat er minder gewerkt wordt;;;bool;;
;33;q16;;multi;q14_header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik moet zorgen voor mensen (kinderen, ouders) die van mij afhankelijk zijn;;;bool;;
;33;q16;;multi;q14_header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik ga minder naar mijn werkplek omdat ik bang ben te worden besmet door het coronavirus;;;bool;;
;33;q16;;multi;q14_header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik was ziek / in quarantaine;;;bool;;
;33;q16;;multi;q14_header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik heb vakantiedagen opgenomen;;;bool;;
;33;q16;;multi;q14_header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Geen speciale reden, geen reden die te maken heeft met het coronavirus;;;bool;;
;33;q16;;multi;q14_header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Anders, namelijk:;;;bool;;
;34;q17;;multi;q14_header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Minder zakelijke activiteit in mijn bedrijf vanwege economische omstandigheden;;;bool;;
;34;q17;;multi;q14_header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Vanwege het besmettingsgevaar heeft de overheid besloten dat mijn bedrijf voorlopig moet sluiten;;;bool;;
;34;q17;;multi;q14_header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Vanwege het besmettingsgevaar hebben we het bedrijf voorlopig gesloten;;;bool;;
;34;q17;;multi;q14_header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik moet zorgen voor mensen (kinderen, ouders) die van mij afhankelijk zijn;;;bool;;
;34;q17;;multi;q14_header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik was ziek / in quarantaine;;;bool;;
;34;q17;;multi;q14_header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik heb vakantiedagen opgenomen;;;bool;;
